quote,author
"Kiedy można być każdym i żywić dowolne przekonania, nie jest się już nikim i nie ma się żadnych przekonań.",Stanisław Lem
"Demokracja polega na tym, że jeżeli ja z panem i panią będziemy na bezludnej wyspie, to większością głosów ustalimy, że pani ma z nami na zmianę sypiać! To jest właśnie demokracja! A mając większość 2/3 wpiszemy to nawet do konstytucji…",Janusz Korwin-Mikke
